name,description
Headache,Pain or discomfort in the head or scalp
Fever,Temporary increase in body temperature often due to infection
Common Cold,Viral infection of the upper respiratory tract
Hyperlipidemia,High level of cholesterol or lipids in the blood
GERD,Chronic acid reflux from stomach into esophagus
Asthma,Chronic inflammatory airway disease causing wheezing and shortness of breath
Rheumatoid Arthritis,Autoimmune inflammatory disease affecting joints
Type 2 Diabetes,Metabolic disorder with high blood glucose
Hypothyroidism,Condition where thyroid gland does not produce enough hormone
Hypertension,High blood pressure
Anxiety Disorder,Mental health condition with excessive worry or panic
Depression,Mood disorder causing persistent sadness and loss of interest
Bacterial Infection,Infection caused by bacteria
Blood Clot,Clump of blood that can block normal circulation
Neuropathic Pain,Pain caused by damage or dysfunction of nerves
Heart Failure,Condition where the heart cannot pump blood effectively

Migraine,Severe headache often with nausea and sensitivity to light
COPD,Chronic obstructive pulmonary disease causing airflow limitation
Osteoarthritis,Degenerative joint disease with cartilage breakdown
Chronic Kidney Disease,Progressive loss of kidney function over time
Influenza,Contagious viral infection with fever and body aches
Stroke,Acute brain injury due to interrupted blood flow to the brain
Pneumonia,Infection causing inflammation of the air sacs in the lungs
Ulcerative Colitis,Inflammatory bowel disease causing ulcers in the colon lining
Gout,Inflammatory arthritis caused by uric acid crystal deposits
Eczema,Chronic skin inflammation with itching and redness
Psoriasis,Autoimmune skin disease causing scaly plaques
Insomnia,Difficulty falling or staying asleep
Anemia,Low red blood cell count causing fatigue and weakness
Acute Bronchitis,Inflammation of the bronchial tubes usually after infection
Allergic Rhinitis,Allergic reaction causing nasal congestion and sneezing
